method,stage,seed,rmse,rank,observation_rmse,noise_sd,initial_rmse,after_setup_rmse,fit_seconds,uncontended_timing
plugin,cold,22,0.08353171497583389,4,1.2462040185928345,1.2495310306549072,0.26542553305625916,0.26542553305625916,28.050087999959942,False
plugin,cold,23,0.08288505673408508,4,1.2451629638671875,1.2484530210494995,0.26161327958106995,0.26161327958106995,28.130762499931734,False
plugin,cold,24,0.08238759636878967,4,1.246437907218933,1.2492531538009644,0.263873428106308,0.263873428106308,32.554171200084966,False
plugin,cold,25,0.07903953641653061,4,1.2482433319091797,1.2511236667633057,0.2610938847064972,0.2610938847064972,31.15018039997085,False
plugin,cold,26,0.08458516001701355,4,1.2455947399139404,1.2484157085418701,0.26520776748657227,0.26520776748657227,14.52549760005786,False
plugin,cold,27,0.08293722569942474,4,1.2458339929580688,1.2489864826202393,0.26290369033813477,0.26290369033813477,28.38346880004974,False
plugin,cold,28,0.08186779916286469,4,1.2450200319290161,1.2475910186767578,0.26042211055755615,0.26042211055755615,17.32779850010411,False
plugin,cold,29,0.08430943638086319,4,1.2473728656768799,1.2500609159469604,0.26418885588645935,0.26418885588645935,40.18563810008345,False
plugin,cold,30,0.0847126692533493,4,1.2470474243164062,1.2503011226654053,0.26416149735450745,0.26416149735450745,33.662951299978886,False
plugin,warm,1,0.08188678324222565,4,1.2499889135360718,1.2523841857910156,0.18217507004737854,0.18217507004737854,26.458131099963794,True
plugin,warm,2,0.07732441276311874,4,1.2468271255493164,1.2491706609725952,0.16757330298423767,0.16757330298423767,31.45233780000126,False
plugin,warm,3,0.0793444961309433,4,1.2456912994384766,1.2481050491333008,0.174700066447258,0.174700066447258,42.49380570003996,False
plugin,warm,4,0.07855623960494995,4,1.2490143775939941,1.2513749599456787,0.1748550534248352,0.1748550534248352,32.8524991000304,False
plugin,warm,5,0.0749066174030304,4,1.253022313117981,1.2554105520248413,0.16993148624897003,0.16993148624897003,33.919141099991975,False
plugin,warm,6,0.08075534552335739,4,1.2487664222717285,1.2512242794036865,0.1716107428073883,0.1716107428073883,42.49176399997668,False
plugin,warm,7,0.07787667959928513,4,1.2464524507522583,1.2487871646881104,0.1700933575630188,0.1700933575630188,35.65863609997905,False
plugin,warm,8,0.0736677423119545,4,1.2487797737121582,1.2512056827545166,0.1708429902791977,0.1708429902791977,34.8900452000089,False
plugin,warm,9,0.07685985416173935,4,1.2484335899353027,1.2508500814437866,0.17662128806114197,0.17662128806114197,44.278250800125534,False
plugin,warm,10,0.0804528072476387,4,1.2481703758239746,1.2506113052368164,0.1763273924589157,0.1763273924589157,41.30056570004672,False
plugin,warm,11,0.08112558722496033,4,1.2427639961242676,1.245192050933838,0.1674446016550064,0.1674446016550064,44.849176299903775,False
plugin,warm,12,0.08031302690505981,4,1.2494932413101196,1.2518095970153809,0.1694876104593277,0.1694876104593277,45.244957699935185,False
plugin,warm,13,0.08470949530601501,4,1.2488116025924683,1.2518385648727417,0.19261866807937622,0.19261866807937622,34.03266920000897,False
plugin,warm,14,0.08497705310583115,4,1.2416940927505493,1.2447770833969116,0.1941612958908081,0.1941612958908081,46.52916030000779,False
plugin,warm,15,0.07640773802995682,4,1.2461782693862915,1.2485917806625366,0.17530925571918488,0.17530925571918488,48.22357339996961,False
plugin,warm,16,0.07802007347345352,4,1.2484930753707886,1.2509346008300781,0.16964438557624817,0.16964438557624817,39.720358899998246,False
plugin,warm,17,0.07831582427024841,4,1.2492048740386963,1.2515957355499268,0.17056500911712646,0.17056500911712646,40.705035499995574,False
plugin,warm,18,0.08010630309581757,4,1.2498753070831299,1.252314567565918,0.17312945425510406,0.17312945425510406,57.97618630004581,False
plugin,warm,19,0.0896172970533371,4,1.2486836910247803,1.2517939805984497,0.18415550887584686,0.18415550887584686,38.023342000029515,False
plugin,warm,20,0.07982305437326431,4,1.247044563293457,1.2494418621063232,0.17116855084896088,0.17116855084896088,46.75433920000796,False
plugin,warm,21,0.0805334597826004,4,1.2490777969360352,1.2514333724975586,0.1699787676334381,0.1699787676334381,50.05265199998394,False
plugin,warm,22,0.07936675101518631,4,1.2481552362442017,1.2505673170089722,0.17805354297161102,0.17805354297161102,50.25917619996471,False
plugin,warm,23,0.07701228559017181,4,1.2469604015350342,1.2494145631790161,0.16965654492378235,0.16965654492378235,46.216065399959916,False
plugin,warm,24,0.07744476944208145,4,1.2476060390472412,1.2499583959579468,0.17206941545009613,0.17206941545009613,36.51939970001695,False
plugin,warm,25,0.07631338387727737,4,1.2492841482162476,1.2516794204711914,0.1715683490037918,0.1715683490037918,48.40517100010766,False
plugin,warm,26,0.07688609510660172,4,1.2466599941253662,1.2491049766540527,0.1686457395553589,0.1686457395553589,26.87909740000032,False
plugin,warm,27,0.0782845988869667,4,1.2473093271255493,1.2497403621673584,0.17546845972537994,0.17546845972537994,35.432537799846614,False
plugin,warm,28,0.08709429204463959,4,1.2448865175247192,1.2476811408996582,0.1922735869884491,0.1922735869884491,33.33749919998809,False
plugin,warm,29,0.0776522234082222,4,1.2483595609664917,1.2507197856903076,0.1701522320508957,0.1701522320508957,54.47797960002208,False
plugin,warm,30,0.0765228196978569,4,1.2490394115447998,1.2514455318450928,0.17349430918693542,0.17349430918693542,54.92057909999858,False
