method,stage,seed,sweep,seconds,rank,signal_rmse,observation_rmse,noise_sd,loading_variance,elbo,expected_log_likelihood,kl_loading,kl_feature,row_regularization,column_regularization,penalized_elbo,package_negative_elbo,package_score_discrepancy,min_loading_kl,min_feature_kl,current_covariates_match_fitted,fit_seconds,uncontended_timing,final_network_state_entries
mean,warm,2,20,36.08107079999172,4,0.07732436060905457,1.2468271255493164,1.2491706609725952,1.8069018551614136e-05,-331827.4269257828,-328283.669967775,1530.5234069824219,2013.2335510253906,-464.28333687191696,-63.212361335754395,-332354.9226239905,331827.40625,-0.02067578281275928,49.7734375,419.13226318359375,True,36.08107079999172,False,17652
mean,warm,3,20,36.865209499927005,4,0.08062450587749481,1.2457810640335083,1.248192548751831,0.00013570782903116196,-331622.43240898836,-328127.01627129305,1531.5459594726562,1963.8701782226562,-464.92366493571376,-63.66919136047363,-332151.0252652845,331622.4375,0.005091011640615761,49.770263671875,386.02056884765625,True,36.865209499927005,False,17652
mean,warm,4,20,37.78590230003465,4,0.07855623960494995,1.2490143775939941,1.2513749599456787,4.205383447697386e-05,-332224.3056280719,-328636.2877447711,1527.0108337402344,2061.007049560547,-463.0122264805929,-64.2026195526123,-332751.5204741051,332224.3125,0.00687192811165005,49.7471923828125,417.2348327636719,True,37.78590230003465,False,17652
mean,warm,5,20,36.373967999912566,4,0.07491979002952576,1.253019094467163,1.2554107904434204,0.00015008769696578383,-332800.6906393744,-329280.26958834904,1533.3550415039062,1987.0660095214844,-462.49678656428694,-58.24070167541504,-333321.42812761414,332800.6875,-0.0031393744284287095,49.8968505859375,403.29510498046875,True,36.373967999912566,False,17652
mean,warm,6,20,37.54967010000837,4,0.08073461055755615,1.2487664222717285,1.251224398612976,9.008181950775906e-05,-332219.3100449524,-328612.2272507629,1533.4783020019531,2073.6044921875,-462.01615603504194,-70.03397750854492,-332751.360178496,332219.34375,0.0337050476227887,49.76611328125,433.27685546875,True,37.54967010000837,False,17652
mean,warm,7,20,37.50136329999077,4,0.07787667959928513,1.2464524507522583,1.2487871646881104,6.004126771586016e-05,-331754.166238958,-328222.27820795216,1528.53076171875,2003.3572692871094,-462.39952491649734,-58.579397201538086,-332275.14516107604,331754.15625,-0.009988958016037941,50.875244140625,399.552001953125,True,37.50136329999077,False,17652
mean,warm,8,20,35.989067599963164,4,0.07366887480020523,1.2487789392471313,1.2512056827545166,0.00026781606720760465,-332097.5170297657,-328609.2309274708,1523.9208679199219,1964.365234375,-462.04365995117985,-60.43877983093262,-332619.9994695478,332097.53125,0.0142202342976816,51.4271240234375,392.03533935546875,True,35.989067599963164,False,17652
mean,warm,9,20,37.74509160002344,4,0.07678477466106415,1.2484347820281982,1.2508504390716553,0.00014108327741269022,-332106.9022652518,-328552.4436470877,1554.6059875488281,1999.8526306152344,-460.45561604564,-61.371524810791016,-332628.7294061082,332106.90625,0.003984748211223632,49.760986328125,404.66375732421875,True,37.74509160002344,False,17652
mean,warm,10,20,37.23333790001925,4,0.0804528072476387,1.2481703758239746,1.2506113052368164,0.00011870772141264752,-332037.8492854986,-328514.20090903377,1521.3134155273438,2002.3349609375,-461.9935749984386,-62.76631546020508,-332562.6091759573,332037.84375,-0.005535498610697687,50.115478515625,416.0460205078125,True,37.23333790001925,False,17652
mean,warm,11,20,36.008134200033965,4,0.08109613507986069,1.2427654266357422,1.2451924085617065,0.00019376770069357008,-331166.2725925478,-327645.72764015524,1539.4687805175781,1981.076171875,-459.64512744616553,-62.045166015625,-331687.9628860096,331166.28125,0.008657452184706926,49.845947265625,394.87811279296875,True,36.008134200033965,False,17652
mean,warm,12,20,35.96027019995381,4,0.08031310141086578,1.2494933605194092,1.2518095970153809,2.408480031590443e-05,-332239.55248365935,-328705.7487116867,1529.2928466796875,2004.5109252929688,-463.0154272095947,-58.119707107543945,-332760.6876179765,332239.5625,0.010016340645961463,49.8245849609375,396.0421447753906,True,35.96027019995381,False,17652
mean,warm,13,20,36.87583920013276,4,0.08470949530601501,1.2488116025924683,1.2518385648727417,0.0014662190806120634,-332366.5459615798,-328710.3711263747,1599.0645141601562,2057.110321044922,-600.567850285244,-79.08771133422852,-333046.20152319927,332366.5625,0.016538420226424932,50.498291015625,437.2167053222656,True,36.87583920013276,False,17652
mean,warm,14,20,37.585860299965134,4,0.0850139930844307,1.2416940927505493,1.244776725769043,0.0019935297314077616,-331205.6289603021,-327578.9479834344,1607.9889602661133,2018.6920166015625,-598.2981043851564,-76.07940292358398,-331880.00646761083,331205.625,-0.003960302099585533,50.7239990234375,409.9486389160156,True,37.585860299965134,False,17652
mean,warm,15,20,38.604329500027234,4,0.07640418410301208,1.246178388595581,1.2485917806625366,9.601948113413528e-05,-331727.54866044316,-328190.95704667363,1527.4997863769531,2009.0918273925781,-463.48659233155934,-63.989562034606934,-332255.0248148093,331727.5625,0.013839556835591793,49.7646484375,414.9061584472656,True,38.604329500027234,False,17652
mean,warm,16,20,35.75849210002343,4,0.07802007347345352,1.2484930753707886,1.2509346008300781,0.00012257316848263144,-332101.0079440392,-328565.8967685021,1529.5927734375,2005.5184020996094,-462.6494693284274,-66.59531211853027,-332630.2527254861,332101.0,-0.007944039185531437,50.531494140625,402.38311767578125,True,35.75849210002343,False,17652
mean,warm,17,20,36.699035700119566,4,0.07830590754747391,1.2492042779922485,1.2515952587127686,0.0001363732008030638,-332202.1848843159,-328671.5023891987,1535.2221069335938,1995.4603881835938,-462.371990952408,-67.49397277832031,-332732.0508480466,332202.1875,0.0026156841195188463,50.28955078125,386.368408203125,True,36.699035700119566,False,17652
mean,warm,18,20,38.50315179993049,4,0.08013198524713516,1.2498751878738403,1.2523143291473389,0.00021661026403307915,-332286.82206438854,-328786.3690004237,1532.5137634277344,1967.9393005371094,-459.1256552759686,-62.171156883239746,-332808.1188765477,332286.8125,-0.009564388543367386,50.4425048828125,389.6083679199219,True,38.50315179993049,False,17652
mean,warm,19,20,36.66651039995486,4,0.0896172970533371,1.2486836910247803,1.2517939805984497,0.0014323864597827196,-332280.1915771556,-328703.2406799388,1518.0982360839844,2058.8526611328125,-478.9539026824283,-61.29624271392822,-332820.44172255194,332280.15625,-0.035327155608683825,49.86871337890625,425.9271240234375,True,36.66651039995486,False,17652
mean,warm,20,20,36.386782400019,4,0.07983968406915665,1.2470413446426392,1.2494419813156128,0.00014677020953968167,-331842.48266438115,-328327.1152937757,1528.5599670410156,1986.8074035644531,-461.25191343942936,-62.208069801330566,-332365.9426476219,331842.5,0.01733561884611845,50.55206298828125,380.8834228515625,True,36.386782400019,False,17652
mean,warm,21,20,36.3390699000156,4,0.08052296936511993,1.2490792274475098,1.2514333724975586,6.335553189273924e-05,-332209.4321128316,-328645.6348716207,1528.5514526367188,2035.2457885742188,-462.8942850939359,-62.79410743713379,-332735.1205053627,332209.46875,0.03663716837763786,49.767822265625,405.7545166015625,True,36.3390699000156,False,17652
